trigger_id,source_file,timestamp_sec,model_score,threshold,audio_clip_path
40,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0005.flac,3.500,0.8633,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0040.wav
41,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0005.flac,10.100,0.5352,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0041.wav
42,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0007.flac,10.300,0.9062,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0042.wav
43,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0008.flac,11.300,0.5352,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0043.wav
44,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0009.flac,0.900,0.8438,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0044.wav
45,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0010.flac,10.900,0.8047,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0045.wav
46,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0011.flac,4.200,0.9375,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0046.wav
47,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0012.flac,7.300,0.5352,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0047.wav
48,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0017.flac,4.000,0.6055,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0048.wav
49,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0020.flac,8.300,0.7812,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0049.wav
50,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0021.flac,10.400,0.5703,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0050.wav
51,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0024.flac,6.700,0.5703,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0051.wav
52,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0028.flac,7.000,0.5703,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0052.wav
53,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0030.flac,9.100,0.8633,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0053.wav
54,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0031.flac,6.700,0.5000,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0054.wav
55,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0034.flac,3.100,0.8438,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0055.wav
56,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0037.flac,6.100,0.5352,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0056.wav
57,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\6848\252323\6848-252323-0039.flac,4.900,0.6055,0.5,D:\SIH\ira-wakeword\streaming_false_triggers\threshold_50\false_trigger_0057.wav
