event_id,source_positive,condition,expected_timestamp,maximum_score_near_event,threshold,audio_path
26,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\276.wav,clean,229.500,0.0391,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_026_clean.wav
27,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\424.wav,clean,238.500,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_027_clean.wav
28,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\372.wav,clean,243.000,0.0117,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_028_clean.wav
29,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_hfc_male_normal_55.wav,clean,252.000,0.0234,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_029_clean.wav
30,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\80.wav,clean,256.500,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_030_clean.wav
31,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1845.wav,clean,265.500,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_031_clean.wav
32,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\339.wav,clean,270.000,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_032_clean.wav
33,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1867.wav,clean,279.000,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_033_clean.wav
34,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1954.wav,clean,283.500,0.3008,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_034_clean.wav
35,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1104.wav,clean,292.500,0.1758,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_035_clean.wav
36,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\847.wav,clean,301.500,0.0156,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_036_clean.wav
37,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_slow_28.wav,clean,306.000,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_037_clean.wav
38,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\592.wav,clean,315.000,0.2188,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_038_clean.wav
39,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\615.wav,clean,319.500,0.0117,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_039_clean.wav
40,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\675.wav,clean,328.500,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_040_clean.wav
41,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\306.wav,clean,333.000,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_041_clean.wav
42,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_normal_55.wav,clean,342.000,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_042_clean.wav
43,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\243.wav,clean,355.500,0.0547,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_043_clean.wav
44,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1103.wav,clean,364.500,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_044_clean.wav
45,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\494.wav,clean,369.000,0.1953,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_045_clean.wav
46,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1457.wav,clean,373.500,0.9688,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_046_clean.wav
47,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\514.wav,clean,378.000,0.0469,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_047_clean.wav
48,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\365.wav,clean,382.500,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_048_clean.wav
49,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1498.wav,clean,391.500,0.0117,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_049_clean.wav
50,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1034.wav,clean,396.000,0.0742,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_050_clean.wav
51,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\741.wav,clean,405.000,0.1562,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_051_clean.wav
52,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1860.wav,clean,409.500,0.3320,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_052_clean.wav
53,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\554.wav,clean,418.500,0.0312,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_053_clean.wav
54,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\494.wav,clean,427.500,0.0820,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_054_clean.wav
55,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\444.wav,clean,432.000,0.0938,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_055_clean.wav
56,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1357.wav,clean,441.000,0.0547,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_056_clean.wav
57,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_fast_30.wav,clean,445.500,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_057_clean.wav
58,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\249.wav,clean,454.500,0.0938,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_058_clean.wav
59,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1277.wav,clean,459.000,0.3633,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_059_clean.wav
60,E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0190.wav,clean,468.000,0.9922,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_060_clean.wav
61,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\972.wav,clean,472.500,0.0430,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_061_clean.wav
62,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_normal_74.wav,clean,481.500,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_062_clean.wav
63,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_hfc_female_normal_118.wav,clean,490.500,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_063_clean.wav
64,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1226.wav,clean,495.000,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_064_clean.wav
65,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\437.wav,clean,504.000,0.0156,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_065_clean.wav
66,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\127.wav,clean,508.500,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_066_clean.wav
67,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1530.wav,clean,517.500,0.0234,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_067_clean.wav
68,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\56.wav,clean,522.000,0.0742,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_068_clean.wav
69,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\621.wav,clean,535.500,0.5352,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_069_clean.wav
70,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_normal_9.wav,clean,544.500,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_070_clean.wav
71,E:\SIH\ira-wakeword\real\positive\standardized\quiet_50cm\ira_0137.wav,clean,553.500,0.9883,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_071_clean.wav
72,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\471.wav,clean,558.000,0.0625,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_072_clean.wav
73,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\74.wav,clean,567.000,0.0625,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_073_clean.wav
74,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1046.wav,clean,571.500,0.0312,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_074_clean.wav
75,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\314.wav,clean,580.500,0.0156,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_075_clean.wav
76,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_ryan_normal_44.wav,clean,585.000,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_076_clean.wav
77,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_normal_113.wav,clean,594.000,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_077_clean.wav
78,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\521.wav,clean,598.500,0.3320,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_078_clean.wav
79,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\230.wav,clean,603.000,0.0742,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_079_clean.wav
80,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\84.wav,clean,607.500,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_080_clean.wav
81,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1890.wav,clean,616.500,0.0430,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_081_clean.wav
82,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\380.wav,clean,621.000,0.0742,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_082_clean.wav
83,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\2.wav,clean,630.000,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_083_clean.wav
84,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\426.wav,clean,634.500,0.0938,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_084_clean.wav
85,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_060.wav,clean,639.000,0.9727,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_085_clean.wav
86,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\322.wav,clean,643.500,0.1953,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_086_clean.wav
87,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\278.wav,clean,657.000,0.0625,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_087_clean.wav
88,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\966.wav,clean,661.500,0.0391,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_088_clean.wav
89,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\882.wav,clean,670.500,0.1055,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_089_clean.wav
90,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\653.wav,clean,679.500,0.3320,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_090_clean.wav
91,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1144.wav,clean,684.000,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_091_clean.wav
92,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1844.wav,clean,693.000,0.1562,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_092_clean.wav
93,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\850.wav,clean,697.500,0.0938,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_093_clean.wav
94,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1298.wav,clean,706.500,0.1367,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_094_clean.wav
95,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1324.wav,clean,711.000,0.8789,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_095_clean.wav
96,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\251.wav,clean,720.000,0.0625,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_096_clean.wav
97,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_pilot100_58.wav,clean,724.500,0.0039,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_097_clean.wav
98,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\681.wav,clean,733.500,0.1367,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_098_clean.wav
99,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\381.wav,clean,742.500,0.1562,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_099_clean.wav
100,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_hfc_male_slow_37.wav,clean,747.000,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_100_clean.wav
101,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\453.wav,clean,756.000,0.4297,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_101_clean.wav
102,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\324.wav,clean,760.500,0.0547,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_102_clean.wav
103,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\320.wav,clean,765.000,0.4648,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_103_clean.wav
104,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1427.wav,clean,769.500,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_104_clean.wav
105,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1785.wav,clean,774.000,0.3008,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_105_clean.wav
106,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\896.wav,clean,783.000,0.3320,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_106_clean.wav
107,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_amy_normal_7.wav,clean,787.500,0.0273,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_107_clean.wav
108,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_ryan_41.wav,clean,796.500,0.0273,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_108_clean.wav
109,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\806.wav,clean,805.500,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_109_clean.wav
110,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\766.wav,clean,810.000,0.1953,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_110_clean.wav
111,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\57.wav,clean,819.000,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_111_clean.wav
112,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1204.wav,clean,823.500,0.1758,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_112_clean.wav
113,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1354.wav,clean,832.500,0.4648,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_113_clean.wav
114,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\650.wav,clean,855.000,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_114_clean.wav
115,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\914.wav,clean,859.500,0.0312,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_115_clean.wav
116,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1013.wav,clean,868.500,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_116_clean.wav
117,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\151.wav,clean,873.000,0.0469,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_117_clean.wav
118,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_normal_114.wav,clean,882.000,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_118_clean.wav
119,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\573.wav,clean,895.500,0.0820,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_119_clean.wav
120,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1192.wav,clean,900.000,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_120_clean.wav
121,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1653.wav,clean,909.000,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_121_clean.wav
122,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1558.wav,clean,918.000,0.8242,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_122_clean.wav
123,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_fast_29.wav,clean,931.500,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_123_clean.wav
124,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_hfc_male_normal_45.wav,clean,936.000,0.0469,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_124_clean.wav
125,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\626.wav,clean,945.000,0.1953,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_125_clean.wav
126,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_hfc_male_normal_48.wav,clean,949.500,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_126_clean.wav
127,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_amy_67.wav,clean,958.500,0.0000,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_127_clean.wav
128,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1891.wav,clean,963.000,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_128_clean.wav
129,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_D\1099.wav,clean,972.000,0.0117,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_129_clean.wav
130,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_ryan_normal_32.wav,clean,976.500,0.7578,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_130_clean.wav
131,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\85.wav,clean,985.500,0.1758,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_131_clean.wav
132,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\814.wav,clean,994.500,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_132_clean.wav
133,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\867.wav,clean,1008.000,0.0117,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_133_clean.wav
134,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1629.wav,clean,1012.500,0.0938,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_134_clean.wav
135,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_hfc_female_normal_57.wav,clean,1021.500,0.0312,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_135_clean.wav
136,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1412.wav,clean,1026.000,0.2422,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_136_clean.wav
137,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\476.wav,clean,1048.500,0.3945,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_137_clean.wav
138,E:\SIH\ira-wakeword\real\positive\standardized\quiet_1m\ira_0217.wav,clean,1053.000,0.9961,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_138_clean.wav
139,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1881.wav,clean,1057.500,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_139_clean.wav
140,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\456.wav,clean,1062.000,0.2695,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_140_clean.wav
141,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\74.wav,clean,1071.000,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_141_clean.wav
142,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\94.wav,clean,1075.500,0.3320,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_142_clean.wav
143,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\1843.wav,clean,1084.500,0.0312,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_143_clean.wav
144,E:\SIH\ira-wakeword\dataset\positive_all\synthetic\synthetic_lessac_slow_38.wav,clean,1089.000,0.0078,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_144_clean.wav
145,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_C\406.wav,clean,1098.000,0.0195,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_145_clean.wav
146,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\1444.wav,clean,1102.500,0.1758,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_146_clean.wav
147,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_B\1853.wav,clean,1111.500,0.0273,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_147_clean.wav
148,E:\SIH\ira-wakeword\dataset\positive_all\piper_batch_A\880.wav,clean,1120.500,0.1211,0.5,D:\SIH\ira-wakeword\streaming_false_negatives\fn_148_clean.wav
